latitude,longitude,city,country,max_temp,humidity,cloudiness,wind_speed,url
-9.967,-9.4125,georgetown,sh,77.0,94,40,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=georgetown&units=imperial
-15.7139,2.3494,jamestown,sh,55.5,64,0,14.12,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=jamestown&units=imperial
-78.7229,54.1989,east london,za,63.24,100,0,13.0,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=east%20london&units=imperial
46.3227,-18.5857,dingle,ie,81.6,86,88,9.08,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=dingle&units=imperial
-45.1117,-6.9195,saldanha,za,57.97,91,0,3.6,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=saldanha&units=imperial
-7.9769,37.7203,kisanga,tz,46.14,67,0,3.49,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=kisanga&units=imperial
37.273,27.093,ayia marina,gr,77.0,65,20,4.27,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=ayia%20marina&units=imperial
-13.5431,-50.831,sao miguel do araguaia,br,64.77,80,0,2.71,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=sao%20miguel%20do%20araguaia&units=imperial
14.9439,6.921,dakoro,ne,72.87,95,64,12.44,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=dakoro&units=imperial
-22.6065,46.2582,ihosy,mg,43.08,78,0,1.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=ihosy&units=imperial
