date,operating_income,cf_from_operations,Close,Volume,P/S Ratio,TSLA_compound,ElonMusk_compound,date_converted,daily_pct_change
2018-06-19,,,352.55,12537147.0,5.125,0.078213006,0.078213006,2018-06-19,
2018-06-18,,,370.829987,11985600.0,5.03,0.108784902,0.108784902,2018-06-18,0.051850764430577234
2018-06-17,,,,,,0.130824257,0.130824257,2018-06-17,
2018-06-16,,,,,,0.130824257,0.130824257,2018-06-16,
2018-06-15,,,358.170013,10848300.0,4.899,0.108784902,0.108784902,2018-06-15,-0.03413956379962346
2018-06-14,,,357.720001,10981000.0,4.898,0.078213006,0.078213006,2018-06-14,-0.0012564200900870848
2018-06-13,,,344.779999,9469800.0,4.858,,,2018-06-13,-0.03617354904345993
2018-06-12,,,342.769989,22347400.0,4.852,,,2018-06-12,-0.00582983353393407
2018-06-11,,,332.100006,13183500.0,4.676,,,2018-06-11,-0.031128696625771446
2018-06-08,,,317.660004,8205200.0,4.649,,,2018-06-08,-0.043480884489956906
2018-06-07,,,316.089996,14345300.0,4.504,,,2018-06-07,-0.004942416357836543
2018-06-06,,,319.5,18767300.0,4.308,,,2018-06-06,0.010788079481009571
2018-06-05,,,291.130005,5995200.0,4.287,,,2018-06-05,-0.08879497652582169
2018-06-04,,,296.73999,4767300.0,4.322,,,2018-06-04,0.019269690185317767
2018-06-01,,,291.820007,5411400.0,4.333,,,2018-06-01,-0.016580114463170315
2018-05-31,,,284.730011,5919700.0,3.949,,,2018-05-31,-0.024295784490197758
2018-05-30,,,291.720001,7489700.0,4.025,,,2018-05-30,0.024549537210533323
2018-05-29,,,283.76001,5651100.0,3.958,,,2018-05-29,-0.027286408106107163
2018-05-25,,,278.850006,3875100.0,3.862,,,2018-05-25,-0.017303368434473998
2018-05-24,,,277.850006,4193000.0,3.957,,,2018-05-24,-0.003586157355148112
2018-05-23,,,279.070007,5953100.0,3.849,,,2018-05-23,0.0043908618810681865
2018-05-22,,,275.01001,8945800.0,3.782,,,2018-05-22,-0.01454831009482127
2018-05-21,,,284.48999,9182600.0,4.333,,,2018-05-21,0.034471399786502044
2018-05-18,,,276.820007,7251900.0,3.949,,,2018-05-18,-0.026960467044903735
2018-05-17,,,284.540009,4420600.0,4.025,,,2018-05-17,0.027888164889758205
2018-05-16,,,286.480011,5674000.0,3.958,,,2018-05-16,0.006818028883945004
2018-05-15,,,284.179993,9519200.0,3.862,,,2018-05-15,-0.008028546187119345
2018-05-14,,,291.970001,7286800.0,3.957,,,2018-05-14,0.027412232359369515
2018-05-11,,,301.059998,4679600.0,3.849,,,2018-05-11,0.031133325235012776
2018-05-10,,,305.019989,5651600.0,3.782,,,2018-05-10,0.013153494407450284
2018-05-09,,,306.850006,5727400.0,3.782,,,2018-05-09,0.005999662533592076
2018-05-08,,,301.970001,5930000.0,3.768,,,2018-05-08,-0.01590355191324322
2018-05-07,,,302.769989,8678200.0,3.785,,,2018-05-07,0.00264923004719253
2018-05-04,,,294.089996,8569400.0,3.73,,,2018-05-04,-0.028668604271739895
2018-05-03,,,284.450012,17352100.0,3.859,,,2018-05-03,-0.03277902727435844
2018-05-02,,,301.149994,8970400.0,3.754,,,2018-05-02,0.058709725067615626
2018-05-01,,,299.920013,4625600.0,3.859,,,2018-05-01,-0.004084280340380886
2018-04-30,,,293.899994,4228200.0,3.885,,,2018-04-30,-0.020072081685325815
2018-04-27,,,294.079987,4364600.0,4.083,,,2018-04-27,0.000612429410257187
2018-04-26,,,285.480011,4356000.0,4.137,,,2018-04-26,-0.029243662881418775
2018-04-25,,,280.690002,4013600.0,4.162,,,2018-04-25,-0.0167787894613749
2018-04-24,,,283.459991,5685300.0,4.096,,,2018-04-24,0.009868498985581953
2018-04-23,,,283.369995,4893400.0,4.106,,,2018-04-23,-0.00031749101410216696
2018-04-20,,,290.23999,5627900.0,3.989,,,2018-04-20,0.02424390415788369
2018-04-19,,,300.079987,6090600.0,3.858,,,2018-04-19,0.03390296767857537
2018-04-18,,,293.350006,6557700.0,4.084,,,2018-04-18,-0.02242729036108637
2018-04-17,,,287.690002,7000000.0,4.068,,,2018-04-17,-0.019294371516051734
2018-04-16,,,291.209991,6338500.0,3.986,,,2018-04-16,0.012235353941844718
2018-04-13,,,300.339996,7327200.0,3.989,,,2018-04-13,0.03135196347023683
2018-04-12,,,294.079987,7608800.0,3.872,,,2018-04-12,-0.020843074793141958
2018-04-11,,,300.929993,7482900.0,3.807,,,2018-04-11,0.02329300293392622
2018-04-10,,,304.700012,10989800.0,3.845,,,2018-04-10,0.012527893821471014
2018-04-09,,,289.660004,10249800.0,3.843,,,2018-04-09,-0.04936005056671933
2018-04-06,,,299.299988,13520300.0,3.936,,,2018-04-06,0.03328034201090446
2018-04-05,,,305.720001,19121100.0,4.07,,,2018-04-05,0.02145009441163115
2018-04-04,,,286.940002,19896700.0,3.979,,,2018-04-04,-0.0614287548690674
2018-04-03,,,267.529999,18844400.0,3.902,,,2018-04-03,-0.06764481377538989
2018-04-02,,,252.479996,16114000.0,3.95,,,2018-04-02,-0.05625538465314306
2018-03-31,-596974.0,-398376.0,,,,,,2018-03-31,
2018-03-29,,,266.130005,15170700.0,4.073,,,2018-03-29,0.054063724715838424
2018-03-28,,,257.779999,21001400.0,3.989,,,2018-03-28,-0.03137566543840109
2018-03-27,,,279.179993,13872000.0,4.081,,,2018-03-27,0.0830165027659886
2018-03-26,,,304.179993,8375200.0,4.133,,,2018-03-26,0.08954796413366206
2018-03-23,,,301.540009,6654900.0,3.929,,,2018-03-23,-0.008679019201634386
2018-03-22,,,309.100006,4939800.0,4.059,,,2018-03-22,0.025071289959402998
2018-03-21,,,316.529999,5958400.0,4.146,,,2018-03-21,0.024037505195001474
2018-03-20,,,310.549988,4764300.0,3.892,,,2018-03-20,-0.01889239888444183
2018-03-19,,,313.559998,7484300.0,3.628,,,2018-03-19,0.009692513657414858
2018-03-16,,,321.350006,6117300.0,3.424,,,2018-03-16,0.02484375573953157
2018-03-15,,,325.600006,6564800.0,3.809,,,2018-03-15,0.013225454864313813
2018-03-14,,,326.630005,7967400.0,3.809,,,2018-03-14,0.003163387533844153
2018-03-13,,,341.839996,5965800.0,3.69,,,2018-03-13,0.04656642306942982
2018-03-12,,,345.51001,8264000.0,3.996,,,2018-03-12,0.010736057930447851
2018-03-09,,,327.170013,5506800.0,4.354,,,2018-03-09,-0.053080942575296275
2018-03-08,,,329.100006,3566200.0,4.316,,,2018-03-08,0.005899052245964986
2018-03-07,,,332.299988,5007300.0,4.424,,,2018-03-07,0.009723433429533301
2018-03-06,,,328.200012,4285700.0,4.531,,,2018-03-06,-0.012338176792230149
2018-03-05,,,333.350006,3823800.0,4.445,,,2018-03-05,0.015691632576783743
2018-03-02,,,335.119995,5092800.0,4.488,,,2018-03-02,0.0053097014193543846
2018-03-01,,,330.929993,6885600.0,4.661,,,2018-03-01,-0.012502990160285665
2018-02-28,,,343.059998,6069700.0,4.675,,,2018-02-28,0.03665429322388425
2018-02-27,,,350.98999,4797400.0,4.893,,,2018-02-27,0.023115466816973518
2018-02-26,,,357.420013,4340000.0,4.946,,,2018-02-26,0.018319676296181475
2018-02-23,,,352.049988,5817400.0,4.683,,,2018-02-23,-0.015024410510555253
2018-02-22,,,346.170013,6969800.0,4.711,,,2018-02-22,-0.016702102543460384
2018-02-21,,,333.299988,3219600.0,4.757,,,2018-02-21,-0.037178335836963394
2018-02-20,,,334.769989,4009400.0,4.698,,,2018-02-20,0.004410444203196473
2018-02-16,,,335.48999,5642600.0,4.772,,,2018-02-16,0.002150733409977068
2018-02-15,,,334.070007,5912900.0,4.797,,,2018-02-15,-0.004232564435081909
2018-02-14,,,322.309998,3950700.0,4.737,,,2018-02-14,-0.03520222933392514
2018-02-13,,,323.660004,4560200.0,4.911,,,2018-02-13,0.004188532804992207
2018-02-12,,,315.730011,6227800.0,5.024,,,2018-02-12,-0.024500997658023937
2018-02-09,,,310.420013,12933700.0,5.116,,,2018-02-09,-0.016818160501061774
2018-02-08,,,315.230011,10314600.0,5.039,,,2018-02-08,0.0154951285309044
2018-02-07,,,345.0,6969200.0,4.955,,,2018-02-07,0.09443894287082966
2018-02-06,,,333.970001,5088400.0,4.771,,,2018-02-06,-0.03197101159420279
2018-02-05,,,333.130005,4464100.0,4.792,,,2018-02-05,-0.0025151839910316776
2018-02-02,,,343.75,3704800.0,4.802,,,2018-02-02,0.03187943097470325
2018-02-01,,,349.25,4197700.0,4.782,,,2018-02-01,0.016000000000000014
2018-01-31,,,354.309998,6214100.0,4.614,,,2018-01-31,0.014488183249821152
2018-01-30,,,345.820007,4717700.0,4.633,,,2018-01-30,-0.023962041850142834
2018-01-29,,,349.529999,4747100.0,4.519,,,2018-01-29,0.010728101107232879
2018-01-26,,,342.850006,4539400.0,4.443,,,2018-01-26,-0.019111358164138448
2018-01-25,,,337.640015,6740300.0,4.512,,,2018-01-25,-0.01519612340330545
2018-01-24,,,345.890015,5287500.0,4.938,,,2018-01-24,0.024434307645674114
2018-01-23,,,352.790009,5465400.0,4.999,,,2018-01-23,0.019948520341068532
2018-01-22,,,351.559998,6210400.0,5.072,,,2018-01-22,-0.003486524472409269
2018-01-19,,,350.019989,4888300.0,4.95,,,2018-01-19,-0.004380501219595545
2018-01-18,,,344.570007,5685800.0,5.003,,,2018-01-18,-0.015570487890050333
2018-01-17,,,347.160004,7083700.0,4.908,,,2018-01-17,0.0075166060521338895
2018-01-16,,,340.059998,6474300.0,4.833,,,2018-01-16,-0.02045168198580849
2018-01-12,,,336.220001,4825100.0,4.951,,,2018-01-12,-0.01129211616357173
2018-01-11,,,337.950012,6645500.0,5.05,,,2018-01-11,0.00514547318676617
2018-01-10,,,334.799988,4309900.0,5.032,,,2018-01-10,-0.009320976144838955
2018-01-09,,,333.690002,7146600.0,5.01,,,2018-01-09,-0.0033153704892008307
2018-01-08,,,336.410004,9859400.0,4.932,,,2018-01-08,0.008151284077129839
2018-01-05,,,316.579987,4591200.0,4.969,,,2018-01-05,-0.05894597890733355
2018-01-04,,,314.619995,9946300.0,4.868,,,2018-01-04,-0.0061911430933251355
2018-01-03,,,317.25,4521500.0,4.813,,,2018-01-03,0.008359306597789384
2018-01-02,,,320.529999,4352200.0,4.813,,,2018-01-02,0.01033884633569726
2017-12-31,-598141.0,849685.0,,,,,,2017-12-31,
2017-12-29,,,311.350006,3777200.0,4.837,,,2017-12-29,-0.028640043143044358
2017-12-28,,,315.359985,4316300.0,4.792,,,2017-12-28,0.012879328481528951
2017-12-27,,,311.640015,4712100.0,4.776,,,2017-12-27,-0.011795948049655003
2017-12-26,,,317.290009,4378400.0,4.815,,,2017-12-26,0.018129873341200975
2017-12-22,,,325.200012,4215800.0,4.532,,,2017-12-22,0.024929883625803173
2017-12-21,,,331.660004,4385200.0,4.503,,,2017-12-21,0.019864673313726655
2017-12-20,,,328.980011,5953800.0,4.541,,,2017-12-20,-0.008080543230048365
2017-12-19,,,331.100006,6825000.0,4.588,,,2017-12-19,0.006444145325291473
2017-12-18,,,338.869995,5476200.0,4.457,,,2017-12-18,0.023467196796124412
2017-12-15,,,343.450012,6933200.0,4.847,,,2017-12-15,0.01351555778787672
2017-12-14,,,337.890015,5799900.0,4.935,,,2017-12-14,-0.016188664451116663
2017-12-13,,,339.029999,6221500.0,5.058,,,2017-12-13,0.003373831570607333
2017-12-12,,,341.029999,8733200.0,5.058,,,2017-12-12,0.005899182980559692
2017-12-11,,,328.910004,7938000.0,5.159,,,2017-12-11,-0.03553938080385699
2017-12-08,,,315.130005,3468500.0,5.117,,,2017-12-08,-0.04189595583112771
2017-12-07,,,311.23999,4780600.0,5.15,,,2017-12-07,-0.012344159357342122
2017-12-06,,,313.26001,7195300.0,5.271,,,2017-12-06,0.006490232826443787
2017-12-05,,,303.700012,4646500.0,5.342,,,2017-12-05,-0.030517773398526016
2017-12-04,,,305.200012,5835100.0,5.256,,,2017-12-04,0.0049390844278267565
2017-12-01,,,306.529999,4292900.0,5.274,,,2017-12-01,0.004357755398777474
2017-11-30,,,308.850006,4351600.0,5.305,,,2017-11-30,0.007568613211002662
2017-11-29,,,307.540009,8767400.0,5.116,,,2017-11-29,-0.004241531405377419
2017-11-28,,,317.549988,4949500.0,4.902,,,2017-11-28,0.03254854232640669
2017-11-27,,,316.809998,4555900.0,4.841,,,2017-11-27,-0.0023303102754328453
2017-11-24,,,315.549988,3244100.0,4.873,,,2017-11-24,-0.003977178775778523
2017-11-22,,,312.600006,4917600.0,4.724,,,2017-11-22,-0.009348699452335185
2017-11-21,,,317.809998,7261300.0,4.747,,,2017-11-21,0.01666664075495894
2017-11-20,,,308.73999,8247700.0,4.768,,,2017-11-20,-0.02853908957263207
2017-11-17,,,315.049988,13735100.0,4.804,,,2017-11-17,0.02043790310416216
2017-11-16,,,312.5,5822100.0,4.784,,,2017-11-16,-0.008093915559838072
2017-11-15,,,311.299988,5978700.0,4.939,,,2017-11-15,-0.003840038400000023
2017-11-14,,,308.700012,5676100.0,4.928,,,2017-11-14,-0.008351995182216188
2017-11-13,,,315.399994,7584900.0,4.908,,,2017-11-13,0.02170386051037787
2017-11-10,,,302.98999,4625400.0,4.862,,,2017-11-10,-0.03934687455954744
2017-11-09,,,302.98999,5447100.0,4.943,,,2017-11-09,0.0
2017-11-08,,,304.390015,4725300.0,4.802,,,2017-11-08,0.00462069720521141
2017-11-07,,,306.049988,5294300.0,4.901,,,2017-11-07,0.005453441040107698
2017-11-06,,,302.779999,6486000.0,4.861,,,2017-11-06,-0.010684493148877428
2017-11-03,,,306.089996,8894000.0,4.842,,,2017-11-03,0.010932019984583041
2017-11-02,,,299.26001,19791400.0,4.802,,,2017-11-02,-0.02231365313879763
2017-11-01,,,321.079987,8457300.0,4.906,,,2017-11-01,0.07291310656575867
2017-10-31,,,331.529999,5672300.0,4.713,,,2017-10-31,0.03254644457176936
2017-10-30,,,320.079987,4254400.0,4.71,,,2017-10-30,-0.03453688062780691
2017-10-27,,,320.869995,6979700.0,4.761,,,2017-10-27,0.0024681580607537335
2017-10-26,,,326.170013,5023500.0,4.655,,,2017-10-26,0.016517649149462965
2017-10-25,,,325.839996,8594100.0,4.994,,,2017-10-25,-0.0010117944226835096
2017-10-24,,,337.339996,4491700.0,5.157,,,2017-10-24,0.035293395964809626
2017-10-23,,,337.019989,5747300.0,4.979,,,2017-10-23,-0.0009486186156235643
2017-10-20,,,345.100006,4930400.0,4.991,,,2017-10-20,0.02397488951315574
2017-10-19,,,351.809998,5061800.0,5.074,,,2017-10-19,0.01944361600503708
2017-10-18,,,359.649994,4939100.0,5.068,,,2017-10-18,0.022284744733150008
2017-10-17,,,355.75,3293300.0,5.247,,,2017-10-17,-0.010843859488567031
2017-10-16,,,350.600006,5375500.0,5.242,,,2017-10-16,-0.014476441321152445
2017-10-13,,,355.570007,3540500.0,5.368,,,2017-10-13,0.014175701411710762
2017-10-12,,,355.679993,4087000.0,5.472,,,2017-10-12,0.00030932305266140325
2017-10-11,,,354.600006,4500800.0,5.594,,,2017-10-11,-0.0030364007570142793
2017-10-10,,,355.589996,6978500.0,5.534,,,2017-10-10,0.0027918499245598305
2017-10-09,,,342.940002,7493700.0,5.454,,,2017-10-09,-0.03557466222981143
2017-10-06,,,356.880005,4297500.0,5.531,,,2017-10-06,0.0406485184542571
2017-10-05,,,355.329987,4171700.0,5.533,,,2017-10-05,-0.004343246968963599
2017-10-04,,,355.01001,8163500.0,5.516,,,2017-10-04,-0.0009005066043018539
2017-10-03,,,348.140015,10153600.0,5.531,,,2017-10-03,-0.01935155293226809
2017-10-02,,,341.529999,5286800.0,5.334,,,2017-10-02,-0.01898665972080238
2017-09-30,-535480.0,-570545.0,,,,,,2017-09-30,
2017-09-29,,,341.100006,5107100.0,5.551,,,2017-09-29,-0.0012590197091294497
2017-09-28,,,339.600006,5319600.0,5.527,,,2017-09-28,-0.004397537301714438
2017-09-27,,,340.970001,6060300.0,5.522,,,2017-09-27,0.0040341430382659915
2017-09-26,,,345.25,7156300.0,5.415,,,2017-09-26,0.0125524209972947
2017-09-25,,,344.98999,7605900.0,5.312,,,2017-09-25,-0.0007531064446054669
2017-09-22,,,351.089996,8159400.0,5.597,,,2017-09-22,0.01768168983685592
2017-09-21,,,366.480011,4618200.0,5.572,,,2017-09-21,0.043834957348086956
2017-09-20,,,373.910004,4919100.0,5.595,,,2017-09-20,0.020273937942006937
2017-09-19,,,375.100006,6451900.0,5.665,,,2017-09-19,0.003182589359122856
2017-09-18,,,385.0,7188000.0,5.661,,,2017-09-18,0.02639294545892379
2017-09-15,,,379.809998,5420500.0,5.761,,,2017-09-15,-0.013480524675324679
2017-09-14,,,377.640015,7202500.0,6.013,,,2017-09-14,-0.005713338278156677
2017-09-13,,,366.230011,4185200.0,6.135,,,2017-09-13,-0.03021396977754065
2017-09-12,,,362.75,5972900.0,6.155,,,2017-09-12,-0.009502255127857295
2017-09-11,,,363.690002,7667100.0,6.317,,,2017-09-11,0.0025913218470019483
2017-09-08,,,343.399994,3263500.0,6.232,,,2017-09-08,-0.05578929277247491
2017-09-07,,,350.609985,4239200.0,6.196,,,2017-09-07,0.02099589728006812
2017-09-06,,,344.529999,4091400.0,6.009,,,2017-09-06,-0.017341166139349995
2017-09-05,,,349.589996,3835100.0,5.952,,,2017-09-05,0.014686665935293552
2017-09-01,,,355.399994,3049500.0,5.967,,,2017-09-01,0.016619462989438727
2017-08-31,,,355.899994,4072800.0,5.635,,,2017-08-31,0.0014068655274090958
2017-08-30,,,353.179993,3412900.0,5.753,,,2017-08-30,-0.007642599173519393
2017-08-29,,,347.359985,4073700.0,5.653,,,2017-08-29,-0.016478872289914848
2017-08-28,,,345.660004,3764000.0,5.736,,,2017-08-28,-0.004894003550811932
2017-08-25,,,348.049988,3484000.0,5.831,,,2017-08-25,0.006914262490143264
2017-08-24,,,352.929993,4584700.0,5.831,,,2017-08-24,0.014020988847153859
2017-08-23,,,352.769989,4954500.0,5.84,,,2017-08-23,-0.00045335903202770034
2017-08-22,,,341.350006,4322000.0,5.795,,,2017-08-22,-0.03237232008417812
2017-08-21,,,337.859985,6495400.0,5.7,,,2017-08-21,-0.01022417149159216
2017-08-18,,,347.459991,5408200.0,5.672,,,2017-08-18,0.02841415505301703
2017-08-17,,,351.920013,5027700.0,5.711,,,2017-08-17,0.012836073549544302
2017-08-16,,,362.910004,3413800.0,5.791,,,2017-08-16,0.03122866161067117
2017-08-15,,,362.329987,3085100.0,5.788,,,2017-08-15,-0.0015982392152518177
2017-08-14,,,363.799988,4502700.0,5.601,,,2017-08-14,0.004057077947567045
2017-08-11,,,357.869995,4365800.0,5.544,,,2017-08-11,-0.01630014622210474
2017-08-10,,,355.399994,7092900.0,5.701,,,2017-08-10,-0.006901950525357803
2017-08-09,,,363.529999,6892100.0,5.774,,,2017-08-09,0.02287564754432725
2017-08-08,,,365.220001,7449800.0,5.955,,,2017-08-08,0.004648865305886485
2017-08-07,,,355.170013,6324500.0,5.945,,,2017-08-07,-0.02751762765588528
2017-08-04,,,356.910004,9268900.0,5.969,,,2017-08-04,0.00489903690151916
2017-08-03,,,347.089996,13535000.0,5.872,,,2017-08-03,-0.027513961194542524
2017-08-02,,,325.890015,13091500.0,5.831,,,2017-08-02,-0.0610792049448754
2017-08-01,,,319.570007,8303100.0,5.965,,,2017-08-01,-0.019393070389100542
2017-07-31,,,323.470001,8535100.0,5.993,,,2017-07-31,0.012203879946718788
2017-07-28,,,335.070007,4880400.0,5.828,,,2017-07-28,0.03586114930020967
2017-07-27,,,334.459991,8302400.0,5.856,,,2017-07-27,-0.001820562829426775
2017-07-26,,,343.850006,4820800.0,5.695,,,2017-07-26,0.028075151745130533
2017-07-25,,,339.600006,6989200.0,5.347,,,2017-07-25,-0.012360040499752145
