date,Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1/4/2016,230.720001,231.380005,219,223.410004,223.410004,6827100
2016-01-05,1/5/2016,226.360001,226.889999,220,223.429993,223.429993,3186800
2016-01-06,1/6/2016,220,220.050003,215.979996,219.039993,219.039993,3779100
2016-01-07,1/7/2016,214.190002,218.440002,213.669998,215.649994,215.649994,3554300
2016-01-08,1/8/2016,217.860001,220.440002,210.770004,211,211,3628100
2016-01-11,1/11/2016,214.009995,214.449997,203,207.850006,207.850006,4089700
2016-01-12,1/12/2016,211.600006,213.740005,205.309998,209.970001,209.970001,3091900
2016-01-13,1/13/2016,212.009995,212.649994,200,200.309998,200.309998,4126400
2016-01-14,1/14/2016,202.210007,210,193.380005,206.179993,206.179993,6490700
2016-01-15,1/15/2016,198.970001,205.070007,197.25,204.990005,204.990005,5578600
2016-01-19,1/19/2016,208.710007,210.470001,200.779999,204.720001,204.720001,4038700
2016-01-20,1/20/2016,199.399994,201.279999,191.25,198.699997,198.699997,5838600
2016-01-21,1/21/2016,201.550003,203.229996,195.020004,199.970001,199.970001,3166200
2016-01-22,1/22/2016,204.800003,205.5,199.029999,202.550003,202.550003,3124100
2016-01-25,1/25/2016,200.059998,203.570007,195.880005,196.380005,196.380005,2698700
2016-01-26,1/26/2016,196.699997,197.820007,188.880005,193.559998,193.559998,4946800
2016-01-27,1/27/2016,192.380005,193.259995,185.770004,188.070007,188.070007,3617200
2016-01-28,1/28/2016,190.789993,191.279999,182.410004,189.699997,189.699997,4592800
2016-01-29,1/29/2016,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
2016-02-01,2/1/2016,188.759995,199.520004,182.75,196.940002,196.940002,5297600
2016-02-02,2/2/2016,192.419998,193.119995,180.229996,182.779999,182.779999,5773600
2016-02-03,2/3/2016,183.589996,183.940002,170.179993,173.479996,173.479996,7931400
2016-02-04,2/4/2016,170.699997,175.979996,166.990005,175.330002,175.330002,4363900
2016-02-05,2/5/2016,171.300003,173,157.740005,162.600006,162.600006,9437600
2016-02-08,2/8/2016,157.100006,157.149994,146,147.990005,147.990005,9313000
2016-02-09,2/9/2016,142.320007,159.789993,141.050003,148.25,148.25,8575100
2016-02-10,2/10/2016,150.5,154.970001,141.740005,143.669998,143.669998,10406500
2016-02-11,2/11/2016,152,163.259995,147,150.470001,150.470001,14252400
2016-02-12,2/12/2016,155,157.009995,143.699997,151.039993,151.039993,7235800
2016-02-16,2/16/2016,158.699997,162.949997,154.110001,155.169998,155.169998,5593800
2016-02-17,2/17/2016,159,169.339996,156.679993,168.679993,168.679993,5825200
2016-02-18,2/18/2016,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
2016-02-19,2/19/2016,163.660004,167.490005,162.5,166.580002,166.580002,2959400
2016-02-22,2/22/2016,170.119995,178.910004,169.850006,177.740005,177.740005,5060100
2016-02-23,2/23/2016,176.160004,181.729996,173.679993,177.210007,177.210007,5984400
2016-02-24,2/24/2016,172.75,179.5,167.839996,179,179,5395600
2016-02-25,2/25/2016,178.649994,188.520004,175.199997,187.429993,187.429993,5720500
2016-02-26,2/26/2016,188.699997,192,185,190.339996,190.339996,6065100
2016-02-29,2/29/2016,192.399994,196.350006,189.220001,191.929993,191.929993,4499000
2016-03-01,3/1/2016,194.25,195.949997,182.699997,186.350006,186.350006,6712200
2016-03-02,3/2/2016,183.729996,188.520004,181.5,188.339996,188.339996,4862400
2016-03-03,3/3/2016,188.279999,197.419998,184.220001,195.740005,195.740005,4820500
2016-03-04,3/4/2016,198,204.029999,197.5,201.039993,201.039993,6489100
2016-03-07,3/7/2016,197.679993,209.699997,197.399994,205.289993,205.289993,5329400
2016-03-08,3/8/2016,203.5,207.5,202.199997,202.600006,202.600006,4178700
2016-03-09,3/9/2016,204.520004,209.369995,202.789993,208.720001,208.720001,3208600
2016-03-10,3/10/2016,210,213.289993,200.669998,205.179993,205.179993,5183200
2016-03-11,3/11/2016,207.929993,209.419998,205.330002,207.5,207.5,3343100
2016-03-14,3/14/2016,212.649994,216.720001,210.639999,215.149994,215.149994,4065700
2016-03-15,3/15/2016,214.270004,218.970001,211.5,218.339996,218.339996,3180500
2016-03-16,3/16/2016,218,222.580002,217.020004,221.929993,221.929993,3516700
2016-03-17,3/17/2016,221.470001,228.5,220,226.380005,226.380005,3782900
2016-03-18,3/18/2016,229.100006,234.479996,228.059998,232.740005,232.740005,4711800
2016-03-21,3/21/2016,235.339996,239.880005,235,238.320007,238.320007,5307800
2016-03-22,3/22/2016,237.210007,238.990005,232.559998,234.240005,234.240005,4316000
2016-03-23,3/23/2016,232.369995,234.729996,222.029999,222.580002,222.580002,4948800
2016-03-24,3/24/2016,215.779999,228.889999,215,227.75,227.75,4960900
2016-03-28,3/28/2016,231.610001,234.809998,225,230.259995,230.259995,3925700
2016-03-29,3/29/2016,229.889999,232.380005,225.330002,230.130005,230.130005,4004900
2016-03-30,3/30/2016,235.089996,235.5,226.5,226.889999,226.889999,4033000
2016-03-31,3/31/2016,229.339996,237.419998,225.009995,229.770004,229.770004,8012900
2016-04-01,4/1/2016,244.830002,247.899994,233.25,237.589996,237.589996,15997500
2016-04-04,4/4/2016,249.119995,252.119995,243.639999,246.990005,246.990005,13475300
2016-04-05,4/5/2016,240.5,256.559998,240,255.470001,255.470001,9948700
